Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Abundances (Scaled): F1: Sample	Abundances (Scaled): F2: Sample	Abundances (Scaled): F3: Sample	Abundances (Scaled): F4: Sample	Abundances (Scaled): F5: Sample	Abundances (Scaled): F6: Sample	Abundances (Scaled): F7: Sample	Abundances (Scaled): F8: Sample	Abundances (Scaled): F9: Sample	Abundances (Scaled): F10: Sample	Abundances (Scaled): F11: Sample	Abundances (Scaled): F12: Sample	Abundance: F1: Sample	Abundance: F2: Sample	Abundance: F3: Sample	Abundance: F4: Sample	Abundance: F5: Sample	Abundance: F6: Sample	Abundance: F7: Sample	Abundance: F8: Sample	Abundance: F9: Sample	Abundance: F10: Sample	Abundance: F11: Sample	Abundance: F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q15233	Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	0	577.985	73	48	1302	46	471	54.2	8.95	3267.3	48	94.9	112.2	119.4	146.3	150.5	132.2	58.4	74	45.2	90.5	108.8	67.7	1483643091	1754582492	1867293144	2287984885	2353289651	2067977867	912742690.3	1157182640	706647395.9	1414997494	1701377165	1058545509	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P11940	Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2	0	572.083	78	53	1075	37	636	70.6	9.5	2796.91	53	88.2	94.7	106.2	114.8	125.6	118.6	59.6	86.7	55.9	103.2	147.2	99.4	1536240406	1650092614	1851082323	1999694929	2189183105	2066933798	1038011674	1510936181	973311458.8	1798821034	2564364598	1732376608	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	Q9Y3I0	RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1	0	569.258	64	36	964	36	505	55.2	7.23	2828.1	36	102.7	105.7	131.7	88.3	109.3	96	71.3	118.6	74.4	94.3	130.9	76.9	2474357954	2546016158	3174443272	2126481620	2633531684	2313390107	1717570430	2856982898	1792414752	2273085720	3152875386	1852832899	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P04264	Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	0	565.812	65	53	1206	47	644	66	8.12	3049.83	53	107.2	324.5	82.4	52.7	194.8	40.4	66.3	70.3	57.3	124.6	37.7	41.8	1337526545	4050220370	1028257568	657846768.3	2431742137	503945290.5	827729014.4	876906268.5	715054590	1554646593	470566526.2	521880560.6	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P35908	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2	0	483.088	77	52	727	40	639	65.4	8	1704.21	52	84.3	273	68.6	46.9	310.5	29.6	56.7	67.1	73.9	119.8	39.8	29.9	352760776.7	1142043139	287050614.1	196243794.4	1299064576	123836565.1	237282197.3	280619221.3	309013559.6	501207917	166333580.1	125124439.7	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O43795	Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3	0	476.811	47	57	588	57	1136	131.9	9.38	1486.94	57	65.4	32.2	39.9	92.6	64.5	43.4	62.5	296.5	132.3	90.1	197.1	83.4	290503170.6	143193184.7	177035137.9	411550547.8	286605672.5	192935694.7	277571571.6	1317089711	587737444.3	400355166.2	875394363.6	370560622.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P60709	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	0	474.708	71	30	987	11	375	41.7	5.48	2370.17	30	99.3	58.4	51.2	127.6	89.2	56.9	41.6	221.8	82.1	98.2	181.3	92.5	1323536646	778896410.9	681893302	1700640846	1189224234	758902739.5	553963150.3	2955597312	1094422184	1308599240	2415870377	1232468085	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q13310	Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1	0	471.878	72	46	766	30	644	70.7	9.26	1904.1	46	96.3	97.3	107.2	117	130.3	120.3	59.7	86	50.4	102.2	142	91.1	485008295.9	489737092.2	539729502.9	589073431.2	655979117.4	605954625.8	300853747.3	433263940.3	253845137.5	514835909.5	715120486.3	458886388.5	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9Y520	Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4	0	455.566	36	67	493	66	2896	316.7	9.13	1180.08	67	80.5	82	92.9	143.1	178.4	112.9	42.9	58.8	39.1	107.9	139.7	121.8	105320181.7	107317332.9	121561968.9	187238747.6	233506416.8	147805917.2	56132058.14	77006175.81	51190145.69	141262748.8	182848393.9	159349413.6	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q13283	Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1	0	440.014	65	28	661	27	466	52.1	5.52	1838.19	28	72.9	70.3	68.8	147.8	173.9	140	30.6	45.6	25.1	113.7	193.4	117.8	939630351.1	905323758.7	886787278.6	1904936566	2240845247	1803535715	394810739.5	587717344.4	323623120.3	1465334244	2492299580	1518304840	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	O00159	Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	0	431.788	49	59	561	59	1063	121.6	9.41	1495.67	59	70.7	38.5	41.1	113	67.1	47.2	68.5	296.4	117.5	82.9	189.2	68	319692993.3	174012973.3	185782411.4	510707499.2	303382261.2	213396825.1	309617660.8	1339494172	530900180.9	374618638.3	855063161.1	307272446.7	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P36578	60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	0	426.093	68	44	504	44	427	47.7	11.06	1292.98	44	18.3	19.5	23.7	170.9	218	160.4	16.2	29.4	15.1	154.6	225.9	148	156197084.3	166049683.1	201911173.7	1458531331	1860800426	1369124539	138425832.6	251285559.8	128633494.6	1319771985	1927642601	1263450859	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	0	410.095	53	52	439	52	1014	113	8.88	998.51	52	192	123.2	81.1	269.9	207.3	73.3	44.7	95.7	26.9	38.7	34.8	12.3	392122704.3	251598193.8	165665818.1	551163207.1	423422238.9	149749306.2	91347730.85	195366311.7	54956641.63	79125959.62	70986779.91	25128319.53	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P02768	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	0	402.406	72	50	444	50	609	69.3	6.28	1250.33	50	62.3	48.8	762.3	94.6	40.5	25.6	35.8	37.7	28.6	24.3	24.8	14.8	297129772.2	232471280.2	3634003187	451014285.9	193104854.3	121876889.3	170673792.8	179500327.6	136364046	115654093.1	118079861.7	70426205.64	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	0	401.71	43	50	602	50	1270	140.9	6.84	1426.8	50	122.4	99.9	120	151.2	134.4	107.4	54.7	90.8	53.5	86.2	102.5	76.9	488767180.3	398994380.7	479195101.9	603640550.9	536636386.4	428871239.6	218286076	362693733.6	213640185.7	343998621.1	409406056.2	306835298.4	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q92900	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	0	397.452	50	46	519	46	1129	124.3	6.61	1419.78	46	93.2	88.2	102.8	130	129.4	104	61.9	87.4	53.4	115	130.1	104.7	300617811.9	284377059.4	331655127	419407351.6	417384835.6	335355869.9	199682385.8	281814657.9	172354489.1	370895429.8	419834325.6	337627034.7	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q6PKG0	La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2	0	389.227	55	47	463	47	1096	123.4	8.82	1130.34	47	91.2	91.9	106.4	158	163.6	108.4	41.6	61.8	47.6	96.9	128	104.7	195647177.8	197272565.8	228191549.1	338959619.8	351084981.1	232550844.9	89201732.93	132548920.3	102079844.1	207965129.1	274619366.6	224564889.4	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9UN86	Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2	0	387.82	67	33	550	32	482	54.1	5.55	1407.8	33	87.1	86.8	96.1	123.1	135.9	114.9	52.2	73.4	47.7	110.7	164.8	107.3	947694943.9	944530950.1	1045260682	1339281627	1478482166	1250562010	568223607.7	798853113.3	519074746.9	1204247403	1793429932	1167610168	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	P13645	Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	0	375.326	64	39	781	32	584	58.8	5.21	1895.98	39	81.3	327.9	58.4	54.4	264.4	31	55.4	71.3	68.5	90.6	52	44.9	678855298.6	2739591666	487766023.3	454884422.3	2209086733	258656439.4	462589295.2	595985727.2	571928920.8	756598228.5	434738415.6	375334805.1	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P35527	Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3	0	373.581	61	31	541	30	623	62	5.24	1486.55	31	137.6	154.6	117.1	98.8	79.8	53.6	83.6	76.2	55.6	233.8	48.8	60.5	448525673.3	503695760.3	381654565.7	322075617.6	260097204.7	174572990.2	272464426.5	248366378.3	181054780.7	762035640.7	158913645	197243653.2	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q14444	Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2	0	363.901	65	31	505	31	709	78.3	5.25	1342.57	31	83.7	81.8	81.1	158.8	177.5	135.7	31.9	49.6	29.5	121.6	140.2	108.5	881742681.1	862171089.5	854783211.5	1672548949	1869835938	1429639270	336539845.6	522775538	310643822	1281490667	1476844597	1143448488	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9Y224	RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1	0	359.644	87	30	589	30	244	28.1	6.65	1567.67	30	99.2	125.2	139.5	86.2	93.5	74.9	71.2	115.7	88.1	101.4	116.7	88.4	1378731273	1739772072	1938743544	1198021733	1298997203	1040604026	990176932.8	1608547952	1225011341	1409567858	1621447570	1228340838	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q01804	OTU domain-containing protein 4 OS=Homo sapiens OX=9606 GN=OTUD4 PE=1 SV=4	0	355.596	43	48	462	48	1114	124	6.71	1260.95	48	127	130.9	186.7	75.5	97.5	77.6	86.9	123	86.8	64.4	82.6	61.2	187105432.5	192838661.3	275085235.8	111227094.1	143605978.4	114357281.1	127974130.2	181254806.3	127873355.2	94877394.94	121644689.3	90227461.94	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	Q9NZB2	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2	0	353.601	46	36	350	36	1118	121.8	8.88	949.32	36	93.6	90.7	101.5	150.8	151.2	102.7	52.4	71.3	52.1	107.6	119.2	106.9	118625983.9	114910925	128558395.3	191097170.4	191585722.1	130108514.9	66411296.03	90355973.94	65993746.19	136364773.1	151106532.8	135493802.7	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8NCA5	Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2	0	344.155	47	24	641	17	518	55.2	8.95	2008.39	24	116.6	109.3	116.5	76.6	89	86.5	76.8	105.3	72.9	116.3	156	78.2	918761283.1	861424046.1	917583002.7	603780598.7	701521589.8	681233033.9	604879417.9	829963677.9	574004721.5	916488417.7	1228989935	616015878.3	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	0	335.462	70	29	500	5	444	49.6	4.89	1234.41	29	65.1	87.1	84.9	111.1	156.1	77.2	69.5	113.6	70.2	101.9	156	107.2	48890990.31	65410134.25	63796331.25	83434057.25	117264217.1	57956504.56	52214994.44	85344826.75	52759883.13	76563883.88	117200365.6	80525021.69	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9BUJ2	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2	0	332.316	38	29	360	29	856	95.7	6.92	995.6	29	92.9	129.9	141.3	132.4	151.9	103.1	72.2	87.1	57	84.3	86.3	61.8	175964351.8	246121232.9	267856648.1	250936538.8	287800460.3	195419067.3	136733979.8	164988558.6	108016684.1	159766716.2	163464626.7	117087081.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	0	329.434	70	29	485	3	445	49.8	4.89	1231.48	29	112.1	116.2	85.5	72.8	107.4	69.3	88.2	174.9	74.7	91.7	115.6	91.7	44799413	46433295	34193103	29079773.06	42912772	27683025.75	35272060.38	69889140.38	29874487.63	36654093	46222479.44	36635804	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O60506	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2	0	327.949	58	35	367	26	623	69.6	8.59	948.59	35	103.2	118.1	121.3	115.5	142.4	127.9	55.9	71	44.7	87.4	135.6	76.9	145784301.7	166878906	171427309.8	163245914.1	201231642.8	180648923.4	78974758.49	100331011.1	63198329.63	123441810.3	191567316.7	108680934.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	0	327.871	54	32	556	26	646	70.9	5.52	1375.33	32	86.7	81.9	104	98.6	117.3	118.8	79.5	103.9	67.4	105.1	143.7	93	497605704.4	470049224.8	596432553.8	565952228.4	672925024.3	681295476.9	456352856.1	596295590.3	386544681.9	603198812.9	824284527.1	533589922.1	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P51114	RNA-binding protein FXR1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3	0	322.665	58	38	443	34	621	69.7	6.15	1078	38	61.6	55.5	55.1	168.9	172.1	137.9	29	43.8	25.8	122.7	211.2	116.4	136708631.3	123262159.9	122272091.8	375106072.9	382219490.4	306286530	64412946.2	97141074.38	57205694.84	272519371.8	468871548.3	258338066.1	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q14157	Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2	0	316.249	38	29	360	29	1087	114.5	7.11	978.49	29	70.4	54.1	74.4	106.9	157.3	112.6	40	67.7	42.9	160.4	182.5	130.8	127541846.7	98008671.69	134771378.4	193682663.7	285115132.3	203976009.4	72434119.06	122648654.3	77795501.27	290703824.3	330684145.2	237086133.6	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	0	309.94	59	41	474	38	654	72.3	5.16	1192.44	41	74.3	94.2	93.7	80.9	129.1	113.8	62.6	98	56.2	113.3	172.6	111.4	136035347.6	172422143.9	171579658.6	148173593.8	236325040.4	208280219	114666523.6	179386233	102816705	207374586.8	315940139.3	203874240.6	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q14694	Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2	0	309.595	47	28	247	28	798	87.1	5.31	782.51	28	71.6	45.2	38	171.1	223.1	140.8	17.7	29.9	18.3	145.5	178.5	120.2	123166078.3	77824607.44	65348843.63	294338244.3	383921248.3	242278955.7	30488381.25	51509266.75	31497913.33	250411768.1	307107006.9	206894616.8	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	0	307.341	56	38	519	37	662	73.2	7.18	1217.94	38	112.5	126.3	141.6	104.4	113	104.8	73.5	104.1	66.5	81.3	104.7	67.3	493651991.1	554483481.1	621594217.8	458060229.7	495960934.4	460034940.2	322527902.6	456917806.3	291881522.6	356913937.2	459464515.8	295480409.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	0	302.361	28	68	392	68	2871	331.6	6.81	740.89	68	101.9	160.3	102.1	108	119.6	74.4	64.3	102.4	72.3	100.9	105.5	88.2	156013809.3	245448356	156355154.1	165422410.9	183149588	113909066.9	98429211.92	156856869	110768213.9	154503961.4	161469247	135003280.1	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P48634	Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3	0	299.755	36	45	340	44	2157	228.7	9.45	897.76	45	103	101.9	98.4	84.8	109.1	84.5	88.7	117.7	84.3	112.2	120.4	95.1	268388217.2	265451041.8	256250839.3	221006075.5	284227310.2	220038811.2	231175200.3	306698986.3	219557717.8	292229495.5	313813221.5	247656849	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P35580	Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3	0	294.371	15	34	446	5	1976	228.9	5.54	1091.23	34	149.2	47.6		186.5	149	55.3	154.3	100.3	72.6	83.5	121	80.6	4389935.5	1401904.5		5489009.875	4384309	1627614.25	4541517	2952433.75	2136232.75	2457924.75	3560846.25	2371403.75	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	High	1	
FALSE	High	Master Protein	P12268	Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2	0	278.963	55	28	273	26	514	55.8	6.9	810.65	28	207.1	97.1	72.5	248.6	174.1	58.6	59.5	112.9	46.5	46	61	16.1	302737623	141937675.4	105984941.9	363446398.9	254417868.6	85718638	86905694.78	165023239.1	67946623.5	67287914.25	89140944	23470600.56	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P67809	Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	0	275.416	62	23	366	16	324	35.9	9.88	1140.18	23	66.7	72.8	92.6	126.5	154.6	137.6	45.9	66.1	51	107.9	163	115.3	163243285.9	178189111.6	226426575.9	309533414.8	378131291.6	336676303.2	112259266.5	161741614.7	124686404.8	263893692.2	398711398.6	281950499.3	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	0	274.097	41	40	319	40	710	76.6	4.7	698.65	40	27.6	31.5	37.5	186.4	219.3	158.7	20.4	38.3	23.4	129.7	189.3	138	47927252.17	54696254.09	65247857.69	324142975.3	381286600.7	275948001.6	35535872.84	66622858.32	40685164.47	225485129.4	329272824.8	239980931.9	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q92841	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2	0	273.144	59	38	407	28	729	80.2	8.27	895.2	38	103.7	84.2	84.6	172.2	199.9	161.3	30.5	49.2	39.3	78.8	119.6	76.9	97347518.06	79084699.28	79408514.5	161704161.6	187684173.1	151488565.1	28599805.84	46170455.81	36858431.41	73962906	112298407.5	72247833.41	High	High	High	High	High	High	High	High	High	High	High	High	1	
