Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
A0AV96	RBM47	RNA-binding protein 47	3.75E-51	3490952	3414257.75	2906788.75	3620600.75	2873094.5	2386035.75	2949370	3591798.75	3634035.25	2939225.25	2894403.75	3379976.25	2967098	3566740	3121019.25	3238375.75	3104400.25	2954061
A0AVF1	TTC26	Intraflagellar transport protein 56	1.39E-15	734913.5625	354817.625	1839408.375	644477.875	158491.9063	623003.875	592027.4375	965560.5	860021.125	551220.25	399130.5313	558682.25	705107.8125	452349.0625	175798.9688	501128.6563	781177.9375	365959.5313
A0AVK6	E2F8	Transcription factor E2F8	2.20E-53	302196.5	423176.75	1294599.375	316101.7813	420678.9375	7878.482422	196490.9375	385435.125	99682.52344	219591.4531	267178.7813	237456.4688	59290.87109	129037.5156	259549.2344	274291.0938	169983.875	220314.875
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	3.61E-47	9943855	11916871	11504971	11419537	11332961	10716994	11145711	10150308	11661550	9797323	9765024	11098752	10398026	12712308	11596860	11476318	11950787	12113274
A0FGR8	ESYT2	Extended synaptotagmin-2	2.30E-39	16002013	17206450	19462150	16811618	17871600	15797313	20034422	15635007	17992090	16476397	13789467	16398116	18348528	19365550	16385228	19167474	17402284	17630682
A0JLT2	MED19	Mediator of RNA polymerase II transcription subunit 19	3.35E-28	45752744	40645616	36974064	46761216	43800616	36951972	44100280	46482204	43250452	45828096	43829288	46071464	32252988	36901492	42785320	37200864	37350820	40172192
A0JNW5	UHRF1BP1L	UHRF1-binding protein 1-like	4.41E-40	174685.2031	290078.4375	290876.6875	210777.1719	237139.6094	230756.6563	260837.5469	304043.25	253568.25	176497.625	279101.5938	251830.9531	268178.4688	244243.9375	211627.6406	215663.125	260903.4375	219234.25
A0MZ66	SHTN1	Shootin-1	4.31E-37	9307036	11397703	10026458	9371918	10576470	10451365	11151792	9913709	9799107	9688771	10017011	9718962	9135707	9487321	8777845	9462588	10200349	9534738
A0PJW6	TMEM223	Transmembrane protein 223	1.34E-21	2872806.5	4523373	2673780.25	2968493	3981857.75	3722329.75	4442890.5	2997785	3683571.25	2290915.25	2566815	3007781	3002261.75	3380621	3856886.5	2671585.25	3006293.5	4449400
A0PJW8	DAPL1	Death-associated protein-like 1	7.63E-05	149192.1406	NaN	NaN	NaN	96494.27344	NaN	384225.7188	NaN	8825.470703	7232.271484	NaN	NaN	258986.1563	196405.0938	202399.0313	NaN	341094.0625	115465.8906
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	1.59E-29	1329602	1310636.375	1535636.5	1254007.125	1353526.75	1609671.5	1534601.125	1370351.375	1419381.375	1382016.125	1396806.875	1020494.5	1061639	1000070.875	1119969.625	1460419.125	1022835.875	1084017.75
A1L020	MEX3A	RNA-binding protein MEX3A	1.40E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A1L0T0	ILVBL	2-hydroxyacyl-CoA lyase 2	1.90E-33	3944549.25	4197347.5	4341409	4226585.5	4363961	4134079.5	5423114	4645481	5182254	4697933.5	3716184	3971112.75	4712885	4846502	4493768	5346908.5	4601468	4917328.5
A1L188	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	2.23E-17	6650978.5	7078544	5191956	6760345.5	6225399	4926905	10957237	5138684.5	4877826	5587192.5	5729562	5024171.5	4129468.5	5683249	3666668.75	6001029	3522670.5	4571900
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.68E-37	165930.8906	191881.6406	209580.1875	168803.3594	169639.0156	188407.7813	197869.25	192904.0625	134879.5938	197678.6094	156431.5156	202084.7656	194301.7813	163807.8281	183094.7969	158904.9844	182404.4844	181389.25
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	GAGE12E;GAGE12H;GAGE12J;GAGE7;GAGE12F;GAGE12G;GAGE12I;GAGE4;GAGE1;GAGE5;GAGE6;GAGE13;GAGE2E	G antigen 12B/C/D/E;G antigen 12H;G antigen 12J;G antigen 7;G antigen 12F;G antigen 12G;G antigen 12I;G antigen 4;G antigen 1;G antigen 5;G antigen 6;G antigen 13;G antigen 2E	9.32E-22	2252172.5	1229229.5	3032567	4784519.5	3961335.25	4173349	3451810.75	3236688.75	3730730.75	4231522.5	6147623.5	4414384	3689191.25	5319689	4245441.5	3918995.5	3903286	5164495
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	7.56E-16	1543143.5	2390622.25	1860915.125	1551309.25	1645032	1341175.875	5112475	NaN	1724139.25	1139392	NaN	575897.75	NaN	1492947.625	1136634.125	3030954.5	828516.875	822311.0625
A1XBS5	CIBAR1	CBY1-interacting BAR domain-containing protein 1	2.16E-31	308386.5	511664.0938	889211.75	484790.2813	445857.6563	482021.875	NaN	597734	794091.9375	438766.4375	585579.75	850552.25	530218.6875	1492574.125	705406.25	796418.6875	753463.75	723346.5
A2A2Y4	FRMD3	FERM domain-containing protein 3	0.000120473	NaN	NaN	2786935.25	NaN	2304836	2587174.25	2363870	NaN	2352885.25	NaN	1339013.875	NaN	NaN	NaN	1226345.875	2295006.5	1515962.5	NaN
A2A3N6	PIPSL	Putative PIP5K1A and PSMD4-like protein	3.79E-05	NaN	NaN	NaN	497629.8125	599709.25	NaN	157428	NaN	NaN	NaN	NaN	450909.75	NaN	NaN	NaN	528184	NaN	NaN
A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	0.00049617	NaN	NaN	NaN	NaN	NaN	9839.479492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2RRD8	ZNF320	Zinc finger protein 320	3.12E-16	217459.9375	116750.1875	243631.875	NaN	163414.5781	105196.8828	150426.2031	127419.8516	NaN	138125.8906	82796.59375	NaN	140163.9219	89498.72656	70043.35938	83780.96094	112304.3203	160892.6719
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex	8.30E-47	347837.5625	404567.0938	469834.9688	386405.4375	354823.0938	414981.75	423283.0938	332591.3125	375998.2188	421035.2813	368998.6875	394251.8125	429193.25	373725.0938	312913.0313	356669.5	390833.4688	339127.5938
A2RTX5	TARS3	Threonine--tRNA ligase 2, cytoplasmic	2.04E-31	6848626	6196904	8575447	7390021	6173720.5	6603612.5	7439627.5	7833361.5	9415315	7896200.5	7366052	8103486.5	6774993	8603370	7076044	7224189	7942445	10231626
A2RU67	FAM234B	Protein FAM234B	3.42E-40	1382368.375	1507401.875	1721080.25	1611381.5	1599098.875	1370747	1747292.875	1490257.625	1661803.625	1492201.5	1837122.25	1598957.125	1144398.625	1316315.25	1274876.25	1345502.875	1037951.563	1419366.5
A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	8.00E-29	5487814	4048458	6019520	4796667.5	3691690.5	4065206.25	5534092	5227968	3946547.5	5425733	4772186	4616474.5	4354141.5	5491300	6031326	2767476.25	4408137.5	4188326.25
A2RUS2	DENND3	DENN domain-containing protein 3	8.94E-20	133289.3438	NaN	NaN	59862.53125	NaN	121561.6016	109480.7188	NaN	33079.89844	154812.8594	62545.71094	64391.41016	81651.75781	NaN	138115.5625	94639.21094	209568.6406	72466.99219
A2VDF0	FUOM	Fucose mutarotase	2.01E-26	417630.5625	768072.375	420388.125	378426.0625	544227.8125	441620.375	465984.2813	283693.7188	359235.4375	390922.625	566981.9375	293815.1875	257594.4219	302566.75	344891.0938	348336	325916.375	199243.6875
A2VDJ0	TMEM131L	Transmembrane protein 131-like	1.68E-36	107454.1094	255168.7813	55361.95313	136048.6563	55463.25	33758.33203	1419.012329	835.9977417	35642.13672	63190.91406	31286.20703	19331.17578	27315.15234	128270.0703	5833.586426	19860.41602	NaN	58044.11328
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	4.13E-58	13901355	16019496	19241478	18071356	13934325	12933853	16109021	15328937	16332902	16782884	14348243	15978680	14439648	13472754	16143755	15748564	14382050	16330218
A3KN83	SBNO1	Protein strawberry notch homolog 1	2.32E-42	2305055.5	2135418.25	2214883.75	1925808.75	2299337.75	1824066.375	2379708.5	2443655.75	2261035.75	2086089.125	2080347.875	2149015.75	2292784.25	2253256	2130759	2281611.75	1962207.25	2694504.25
A4D1E1	ZNF804B	Zinc finger protein 804B	0.006062868	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A4D1E9	GTPBP10	GTP-binding protein 10	2.76E-41	781634	975099.6875	1039328.813	709066.25	902179.625	1051167.75	912413.5	861345.5	884999.5	890528.875	984643.5625	1012418.25	847304.375	1018007.563	914947.375	1006713.438	811996.0625	963048.8125
A4D1P6	WDR91	WD repeat-containing protein 91	4.32E-33	2455176	2694662.25	3261311.5	2172951.75	2042864	2829245.75	2007779	2879210	2465727.25	2346060.25	2045850.125	1709310.5	2253910.25	2180143.75	2467378.75	2220430	1898844	2181512
A4D1S0	KLRG2	Killer cell lectin-like receptor subfamily G member 2	9.69E-26	325425.4063	837929.375	44593.68359	388446.4688	178320.6563	337805	301177.0938	1827915.5	338436.0938	355271.875	139554.8281	100849.1094	264447.3125	375222.6563	381904.4688	214749.9688	130907.5	160193.9219
A4D2B0	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	5.14E-14	1945683	8704224	8382822.5	9506056	6615838.5	7044744	7630096.5	NaN	6954903.5	8363579	4490010	9675186	7045345	5125706	5562576	3265154.25	7229514.5	3975583.75
A4FU28	CTAGE9	cTAGE family member 9	2.73E-05	NaN	15622928	12401314	17486604	13434659	13626183	11364756	11136279	NaN	12976999	NaN	NaN	14833119	15891338	NaN	11485568	NaN	14457966
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C	2.45E-36	2683676.75	1717936.75	2593745.25	2073660.125	1741724.375	2304714	1875356.75	1835144.5	2676009.75	2081203.25	2313532	2261889	1610556.875	1748865.125	1976761.75	1871315.75	1496703	1798368.375
A5D8W1	CFAP69	Cilia- and flagella-associated protein 69	4.98E-26	579889.75	998371.0625	849822.1875	603950.5625	1037084.938	503090.6563	1361634.75	489784.6563	617970.125	478242.0313	402782.6875	410546.4063	365281.5	473205.3438	508077.4375	561043.8125	180559.8906	346037.4688
A5PLL7	PEDS1	Plasmanylethanolamine desaturase	1.06E-26	NaN	NaN	200355.0781	70345.27344	87282.57813	188637.9688	220046.9063	269549.0313	179189.2031	166463.0781	334438.25	224689.9063	255083.625	129020.75	246183.1406	73114.05469	47580.16406	188323.6719
A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	5.12E-13	1043395.5	1179393.875	1181251.375	1119343.25	840069.625	645264.125	770137.3125	781907.9375	930398.4375	1134444.5	1038897.5	1106461.625	1242190.125	1251858.75	924392.5	851068	1199382.625	1019664.563
A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	7.32E-48	9854344	10681978	9103254	11315153	11602187	10921852	11683418	12182462	11647431	11193230	9870613	12298308	11683747	12417409	12434076	12125293	12311681	12425436
A6H8Y1	BDP1	Transcription factor TFIIIB component B'' homolog	8.74E-27	1846504.375	1388365.25	1629232.25	1830451.125	1547358.875	2027497.75	2304205.25	1780022.125	2498572.25	1415061.5	1587412.25	2062975.375	1480018.125	1788168.75	1208262.25	1648338.875	1468568.75	1247331.625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	4.10E-27	1834753	2342232	3680614.75	2427714.75	2291351	2318491.5	1966453.625	2259177.25	3419152.75	1922351	2607726	2839703.75	3017403.5	1981171.25	1828452.25	3147654.5	3509217	2685804.75
A6NCF5	KLHL33	Kelch-like protein 33	5.93E-05	NaN	3551947.75	NaN	NaN	4028420.5	4173492	2764650.75	NaN	3145122.5	NaN	NaN	NaN	2861543.75	NaN	3141902.5	3121581	NaN	NaN
A6NCL7	ANKRD33B	Ankyrin repeat domain-containing protein 33B	7.08E-18	2074844.5	2286442.25	1825106.75	2269583	1265544.625	1798758.875	NaN	1403441.625	1244731.75	1793061.625	1271432.25	1435212.25	1503338.125	1419645.75	1670454.5	1381794.625	1031839.438	2089702.25
A6ND36	FAM83G	Protein FAM83G	3.21E-36	710346.5625	842639	863053.6875	626958.375	817322.25	696708.6875	805580.125	783537.875	703874.875	750141.125	636718.1875	628333	790160.8125	694092.25	733420.375	770341	669320.1875	529938.5
A6NDB9	PALM3	Paralemmin-3	0.000159207	NaN	NaN	NaN	NaN	NaN	1034153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	531636.1875	312945.2813
A6NDG6	PGP	Glycerol-3-phosphate phosphatase	7.08E-39	8680743	8332954.5	9864181	9027670	8761298	8642582	8609064	8362067	8104997	8373974.5	8160798.5	7867021.5	8278459	8149380.5	7572533.5	8805015	9651803	7748121
A6NDU8	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.16E-43	1587957.125	1703853.5	1624693.875	1626062.75	1703042.375	1706030.25	1529826.75	1157014.875	1695582.25	1600492.75	1602830.5	1776685.375	1919014.875	1338579.25	1446771.125	1596967.875	1462653.125	1416387.25
A6NE01	FAM186A	Protein FAM186A	0.002117837	NaN	NaN	NaN	NaN	394506.5938	343314.6563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6NED2	RCCD1	RCC1 domain-containing protein 1	1.56E-41	517031.375	396817.375	686225.3125	409298.375	483234.1563	439333.3438	487571.4063	417626.4688	600467.6875	532256.1875	570332.0625	536517.0625	461078.3438	719987.8125	558416.375	483452.4063	453057.0625	650504.625
A6NFI3	ZNF316	Zinc finger protein 316	3.34E-40	944466.875	664444.0625	847804.75	846206.3125	730841.8125	592787.875	778493.5625	1088156.25	858485.1875	973054.375	900067.75	776069.9375	816749.3125	854529.1875	915553.25	639171.6875	939643.375	889264.5625
A6NFQ2	TCAF2	TRPM8 channel-associated factor 2	4.49E-25	43579.25	NaN	65322.99219	5460.819336	NaN	NaN	86710.33594	212004.6094	113710.4063	74417.53906	122551.1797	51201.53125	137729.8125	NaN	38595.875	109392.3828	57464.30859	29816.06055
A6NGD5	ZSCAN5C	Zinc finger and SCAN domain-containing protein 5C	0.001529097	1523.856445	4683.867188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6NGH7	CCDC160	Coiled-coil domain-containing protein 160	3.36E-08	586249.5	817702.5	1487523.25	1208188.125	1177397.125	1252083.625	927455.5625	1496173.125	1398266.875	732043.25	1196097.625	988727.0625	986003.25	1030853.063	706859.625	1462992.25	758003	617618
A6NGR9	MROH6	Maestro heat-like repeat-containing protein family member 6	2.41E-14	472785.7813	459593.5625	550205.5625	NaN	538636.75	453741.125	570939.625	335956.875	NaN	NaN	325322.5313	465338.1563	435642.8125	205675.5313	324177.3438	NaN	318494.0938	NaN
A6NH57	ARL5C	Putative ADP-ribosylation factor-like protein 5C	2.53E-05	15672497	15524994	15184100	15760132	NaN	13492942	15538049	14783385	11914438	13291126	NaN	NaN	NaN	12489809	12857014	12913887	15123875	12133728
A6NHL2	TUBAL3	Tubulin alpha chain-like 3	4.35E-15	NaN	NaN	3827454.75	4354376.5	2116175.75	NaN	NaN	NaN	9829642	NaN	8317891	3515767.5	2637099.25	NaN	5932995	6596190.5	NaN	8783057
A6NHN6;E9PJ23;E9PQR5;F8W1W9;O75200	NPIPB15;NPIPB6;NPIPB8;NPIPB9;NPIPB7	Nuclear pore complex-interacting protein family member B15;Nuclear pore complex-interacting protein family member B6;Nuclear pore complex-interacting protein family member B8;Nuclear pore complex-interacting protein family member B9;Nuclear pore complex-interacting protein family member B7	0.000530698	NaN	32674.85156	NaN	20012.9668	NaN	NaN	NaN	NaN	NaN	27668.33008	NaN	NaN	NaN	23680.04297	NaN	33524.78125	48811.0625	NaN
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	3.46E-51	2878785.25	2861562.25	3213593.5	2900466.75	3032722.75	2844122	3430777.75	3070265	3391076.25	2930281.75	2795244.75	2766309.5	2948540.25	2763411.75	2855691.75	3074898.25	2957998.5	2732822
A6NHT5	HMX3	Homeobox protein HMX3	3.79E-21	2241562.75	2727872.5	2192807	2108926.25	2233006.25	3215076.75	2358554.5	1699731	2553766.75	2620177	1942765.125	2086720.375	715098.875	1628241.75	1915017	1413536	2199576.75	873222.75
A6NHX0	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	2.27E-35	3861839.25	4207988.5	4406679	3515627.75	5513579.5	3538921	4449848.5	4013546.25	3852214	4141712	3691959.75	3719197.75	3472454.75	4650318	3185596.25	3226472.75	3645811.5	5109770.5
A6NI28	ARHGAP42	Rho GTPase-activating protein 42	3.74E-05	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6NIH7	UNC119B	Protein unc-119 homolog B	4.49E-41	1268951.875	1186808.125	1667878.75	1321370.625	1135775.125	1174587.375	1032451.563	1131947.25	1172999.5	1173828.875	984732.125	1252500.125	1074495.875	1274748.75	1088327.5	1055957.5	999910.5	894276.5
A6NJ78	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2.14E-36	1263120.375	932924.4375	1132355.25	1006455.25	869216.375	1110042.125	737853.75	971357.125	1156244.5	1097529.75	854904.875	741013.25	1010180.5	813054.375	916725.25	776904.875	875048.125	841800.875
A6NJZ7;A6NNM3;Q9UFD9	RIMBP3C;RIMBP3B;RIMBP3	RIMS-binding protein 3C;RIMS-binding protein 3B;RIMS-binding protein 3A	3.23E-07	9142.808594	5425460	NaN	505682.9688	2313772.5	62304.05078	NaN	684672.875	1528401	229075.9063	1184894.875	539144.875	349.2089539	397156.2813	103.2588272	393671.875	420129.125	192635.6563
A6NK58	LIPT2	Putative lipoyltransferase 2, mitochondrial	1.38E-25	680482.1875	11361.30273	NaN	216885.2188	886097.4375	NaN	154556.2969	209361.2656	NaN	501486.1875	282467.6875	129883.5781	1024.429077	87991.9375	136909.5938	4.244638443	92532.23438	176452.4375
A6NKD9	CCDC85C	Coiled-coil domain-containing protein 85C	4.60E-42	1341809.625	1541964.375	1516586.875	1318637.375	1420636.375	1358261.625	1762364.875	1628225.5	1530812.25	1295050.25	1429218.125	1397108.125	1397853.375	1378422.25	1297773.375	1281364	1276534.375	1366428.375
A6NKF1	SAC3D1	SAC3 domain-containing protein 1	1.13E-36	2313238.25	2026675.625	1759829.25	2183268.75	1828482.5	2048022.625	2471454.25	2058312.375	2600887.25	1985169.5	2160200.5	1851212.75	2345568.75	2015598.875	2034173	2666687.75	1906544.375	2351887
A6NKF2	ARID3C	AT-rich interactive domain-containing protein 3C	4.47E-06	1617809.5	1402509.875	1099148.875	2050497.625	1987713.875	2147247.25	1629346.625	1047672.313	1181824.5	1608642.625	1387243.5	1667711.875	1188276.5	1613340.125	1421990.75	564873.9375	780918.125	1845068.625
A6NL08	OR6C75	Olfactory receptor 6C75	4.53E-11	4195774.5	6861033	4046579.25	NaN	NaN	2839079.5	NaN	5138100.5	5782875	5241232.5	5274550.5	3249787.5	4048114	4080435.75	4421287.5	5167283	4837380.5	4153702.5
A6NMZ7	COL6A6	Collagen alpha-6(VI) chain	0.000160063	8403234	8540147	NaN	NaN	8720351	8471846	NaN	NaN	NaN	10158091	8938579	10433283	10869647	13584498	9534401	10793715	NaN	14046694
A6QL64;Q8N2N9	ANKRD36;ANKRD36B	Ankyrin repeat domain-containing protein 36A;Ankyrin repeat domain-containing protein 36B	5.72E-05	NaN	233011.3125	404748.4688	NaN	188905.2188	NaN	368593.1563	372365.8438	382441.7188	NaN	258318.9375	NaN	277413.25	NaN	273740.9688	393044.4375	346972.2188	199571.1094
A6ZKI3	RTL8C	Retrotransposon Gag-like protein 8C	1.59E-29	1490079.125	1087535.25	1536742.75	1584446.75	1439539.625	1016642.125	1529947.25	1258006.25	1144912.625	1737452	1650584.375	1476692.75	965447.75	1265213.125	1387751.625	1378835.75	1603976.25	1615311.5
A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	5.14E-49	4808201	4699635.5	5332078	4894315.5	4312074	4851589	4752686.5	5336585	4712460.5	4933771	5537366	4584384.5	4712169.5	5497487	5480067.5	5097766.5	4932359	6413204.5
A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C	3.42E-33	5027418	4614963.5	4368295.5	5415044.5	4715977	5208076	4705289	5700828	5159586	5589186	4628276	4931329.5	5491870.5	5911100	5070186	5266754.5	4803523	5568837
A8K855	EFCAB7	EF-hand calcium-binding domain-containing protein 7	7.98E-16	842843.75	1345844.25	NaN	1353692.375	1052686.875	NaN	2809641.25	NaN	917933.625	469418.4688	777787.8125	1184013.375	855968.625	862749.1875	1076145.375	821991.75	888510.6875	846197.4375
A8K8V0	ZNF785	Zinc finger protein 785	2.87E-26	100716.8281	118733.5469	65446.76172	136656.7031	72737.01563	84306.85938	66886.8125	131490.5	58782.03906	95241.8125	45610.73828	53370.21484	86624.78125	53719.4375	86047.77344	83065.46875	69960.10938	41316.48828
A8MPP1	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	2.77E-33	4403131	2517911.25	4664264.5	2998303.5	2603735.75	5566173	4812378	3738930	4080283.25	2273024.75	2335674	3057028	3137931	2073126	3071620	2177384.25	3301848.75	2443745.5
A8MPS7	YDJC	Carbohydrate deacetylase	7.59E-25	1849042.375	2817748.25	NaN	924933	4467894	NaN	NaN	NaN	1883937	NaN	NaN	2365436.5	NaN	NaN	2615293	NaN	NaN	NaN
A8MQ03	CYSRT1	Cysteine-rich tail protein 1	7.73E-13	3601204.5	4189957.75	NaN	865052.25	1731266.25	2196327.75	1006148.75	1079726.75	1153996.75	1636145.375	1149623.375	1546493	1393776.375	1574804.5	2629076.75	869133.25	1053384.25	1296224.75
A8MQ14	ZNF850	Zinc finger protein 850	1.64E-17	290937.6563	86324.27344	NaN	190591.0156	NaN	214575.9063	NaN	295085.5625	107793.2891	211505.2656	173706.7969	143519.1406	149787.1094	217317.6719	103720.5391	NaN	154958.3594	185286.3438
A8MT69	CENPX	Centromere protein X	3.58E-35	791285.75	784387.5625	1099636.875	737630.375	1201729.875	1027422.438	1088778.875	849250.4375	1092164.75	781281.75	1039982.188	889091.25	1088601.875	760963	969643.5	978630	721073.3125	830378.5
A8MTT3	CEBPZOS	Protein CEBPZOS	2.14E-19	392431.9688	4648212	4327457	2114674.75	3405302.5	2968398	1806868	2132633.25	4168524.75	2730774.75	2536960	4289470	2997016.25	2934445	1873476.625	3112747	4453962.5	4144598.75
A8MTY0	ZNF724	Zinc finger protein 724	4.74E-43	317429.7188	267549.5625	370957.5	372766.5313	294632.5313	317843.7188	194858.9688	621038.1875	213912.0313	468829	285081.5938	310354.25	344707.6563	191702.9531	348593.625	176740.8125	302954.3125	254065.1563
